DATE,HPIPONM226S
2006-01-01,220.39
2006-02-01,220.84
2006-03-01,221.66
2006-04-01,222.08
2006-05-01,222.72
2006-06-01,222.66
2006-07-01,222.59
2006-08-01,223.21
2006-09-01,223.12
2006-10-01,223.43
2006-11-01,224.07
2006-12-01,224.23
2007-01-01,224.94
2007-02-01,225.03
2007-03-01,226.01
2007-04-01,226.0
2007-05-01,224.89
2007-06-01,224.12
2007-07-01,223.05
2007-08-01,221.97
2007-09-01,221.1
2007-10-01,219.36
2007-11-01,217.91
2007-12-01,216.79
2008-01-01,214.81
2008-02-01,213.57
2008-03-01,211.7
2008-04-01,209.34
2008-05-01,207.0
2008-06-01,205.74
2008-07-01,203.88
2008-08-01,201.78
2008-09-01,200.01
2008-10-01,198.3
2008-11-01,194.78
2008-12-01,194.23
2009-01-01,195.98
2009-02-01,196.38
2009-03-01,193.9
2009-04-01,192.79
2009-05-01,192.46
2009-06-01,192.33
2009-07-01,191.8
2009-08-01,191.37
2009-09-01,191.23
2009-10-01,191.66
2009-11-01,192.19
2009-12-01,190.26
2010-01-01,190.41
2010-02-01,189.71
2010-03-01,189.52
2010-04-01,189.71
2010-05-01,189.76
2010-06-01,187.77
2010-07-01,186.5
