"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Clark County, Nevada!!Estimate","Clark County, Nevada!!Margin of Error"
"Total:","76,089,650","±362,764","1,552,091","±9,284","405,047","±4,088"
"    With a mortgage:","51,696,841","±255,191","1,200,858","±7,155","323,796","±3,698"
"        Less than $50,000","2,230,928","±11,916","12,552","±728","7,395","±535"
"        $50,000 to $99,999","6,606,512","±38,153","14,718","±765","15,859","±853"
"        $100,000 to $149,999","8,155,652","±43,693","18,379","±929","31,061","±1,189"
"        $150,000 to $199,999","7,794,524","±41,118","28,685","±1,207","43,233","±1,367"
"        $200,000 to $299,999","10,053,577","±51,544","107,462","±2,139","96,248","±1,920"
"        $300,000 to $499,999","9,812,691","±55,503","394,116","±4,665","92,288","±2,212"
"        $500,000 or more","7,042,957","±32,333","624,946","±4,456","37,712","±1,312"
"    Not mortgaged:","24,392,809","±111,567","351,233","±4,000","81,251","±1,716"
"        Less than $50,000","3,972,366","±18,650","20,630","±790","10,772","±610"
"        $50,000 to $99,999","4,695,103","±27,171","13,832","±657","6,181","±459"
"        $100,000 to $149,999","3,638,844","±21,103","8,984","±589","8,085","±657"
"        $150,000 to $199,999","3,080,335","±18,261","10,145","±616","10,076","±605"
"        $200,000 to $299,999","3,480,663","±18,875","30,497","±1,135","20,130","±908"
"        $300,000 to $499,999","3,071,143","±18,141","100,351","±2,143","17,212","±757"
"        $500,000 or more","2,454,355","±10,875","166,794","±2,442","8,795","±620"
