"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Clark County, Nevada!!Estimate","Clark County, Nevada!!Margin of Error"
"Total:","78,801,376","±342,600","1,534,472","±9,202","443,247","±3,965"
"    With a mortgage:","48,974,364","±221,164","1,081,570","±6,463","307,917","±3,501"
"        Less than $50,000","1,441,432","±14,143","10,229","±788","4,955","±562"
"        $50,000 to $99,999","4,282,140","±29,840","7,653","±698","6,258","±539"
"        $100,000 to $149,999","5,999,699","±34,795","6,746","±573","15,572","±767"
"        $150,000 to $199,999","6,908,704","±35,971","9,411","±776","33,234","±1,259"
"        $200,000 to $299,999","10,593,100","±53,384","46,462","±1,493","103,400","±2,412"
"        $300,000 to $499,999","11,234,498","±50,515","284,328","±3,814","109,393","±2,782"
"        $500,000 to $749,999","4,798,493","±23,808","364,365","±3,872","24,703","±1,292"
"        $750,000 to $999,999","1,876,268","±11,489","156,269","±3,174","5,439","±504"
"        $1,000,000 or more","1,840,030","±10,978","196,107","±2,892","4,963","±530"
"    Not mortgaged:","29,827,012","±125,249","452,902","±5,101","135,330","±2,241"
"        Less than $50,000","3,731,042","±19,976","18,639","±1,036","10,017","±632"
"        $50,000 to $99,999","4,416,288","±27,339","11,780","±764","7,194","±631"
"        $100,000 to $149,999","3,730,378","±21,618","6,314","±552","11,856","±828"
"        $150,000 to $199,999","3,818,598","±21,742","5,689","±539","15,178","±994"
"        $200,000 to $299,999","5,137,358","±24,938","20,513","±958","35,560","±1,344"
"        $300,000 to $499,999","4,938,838","±24,095","107,173","±2,329","38,452","±1,313"
"        $500,000 to $749,999","2,126,700","±12,732","138,574","±2,873","9,904","±717"
"        $750,000 to $999,999","881,201","±8,331","61,378","±1,631","3,525","±562"
"        $1,000,000 or more","1,046,609","±7,042","82,842","±1,878","3,644","±569"
